PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
86,-0.146385,0.141619,0.25030399999999997,-146.38,141.62,250.3,7,Other,Other
87,-0.146398,0.140112,0.25045100000000003,-146.4,140.11,250.45,4,Felsic,Felsic
88,-0.14640699999999998,0.138601,0.250521,-146.41,138.6,250.52,4,Felsic,Felsic
89,-0.146392,0.13708,0.250255,-146.39,137.08,250.26,4,Felsic,Felsic
90,-0.146387,0.13556400000000002,0.250078,-146.39,135.56,250.08,4,Felsic,Felsic
91,-0.14638099999999998,0.134054,0.24996100000000002,-146.38,134.05,249.96,1,Pyroxene,Mafic
92,-0.146379,0.132543,0.249844,-146.38,132.54,249.84,4,Felsic,Felsic
93,-0.14639000000000002,0.13103499999999998,0.25003600000000004,-146.39,131.04,250.04,7,Other,Other
94,-0.146386,0.129528,0.24997399999999997,-146.39,129.53,249.97,7,Other,Other
95,-0.14637999999999998,0.128022,0.2497530000000001,-146.38,128.02,249.75,4,Felsic,Felsic
96,-0.146374,0.126519,0.24965700000000002,-146.37,126.52,249.66,7,Other,Other
97,-0.146375,0.12501500000000002,0.249567,-146.38,125.02,249.57,4,Felsic,Felsic
98,-0.146371,0.12351400000000001,0.2495010000000001,-146.37,123.51,249.5,3,Alt. Mafic,Mafic
99,-0.14639000000000002,0.12199600000000001,0.24973299999999998,-146.39,122.0,249.73,7,Other,Other
100,-0.14640999999999998,0.12047100000000001,0.250087,-146.41,120.47,250.09,4,Felsic,Felsic
101,-0.14491500000000002,0.120451,0.250339,-144.92,120.45,250.34,4,Felsic,Felsic
102,-0.14491099999999998,0.12196400000000004,0.250271,-144.91,121.96,250.27,3,Alt. Mafic,Mafic
103,-0.144899,0.12348699999999999,0.24990500000000002,-144.9,123.49,249.91,3,Alt. Mafic,Mafic
104,-0.144897,0.12499400000000001,0.249881,-144.9,124.99,249.88,4,Felsic,Felsic
105,-0.144901,0.126499,0.249849,-144.9,126.5,249.85,4,Felsic,Felsic
106,-0.144904,0.128004,0.249925,-144.9,128.0,249.92,1,Pyroxene,Mafic
107,-0.144919,0.12950599999999998,0.250125,-144.92,129.51,250.12,4,Felsic,Felsic
108,-0.144906,0.13101600000000002,0.24984699999999999,-144.91,131.02,249.85,4,Felsic,Felsic
109,-0.14491800000000002,0.132521,0.249986,-144.92,132.52,249.99,3,Alt. Mafic,Mafic
110,-0.144927,0.13403199999999998,0.250177,-144.93,134.03,250.18,4,Felsic,Felsic
111,-0.14493499999999998,0.13554000000000002,0.250235,-144.93,135.54,250.24,4,Felsic,Felsic
112,-0.14494300000000002,0.137054,0.250384,-144.94,137.05,250.38,3,Alt. Mafic,Mafic
113,-0.144952,0.138566,0.250456,-144.95,138.57,250.46,4,Felsic,Felsic
114,-0.144954,0.14007999999999998,0.250498,-144.95,140.08,250.5,4,Felsic,Felsic
115,-0.144953,0.14158199999999999,0.250355,-144.95,141.58,250.36,7,Other,Other
116,-0.143438,0.141583,0.250394,-143.44,141.58,250.39,4,Felsic,Felsic
117,-0.14344200000000001,0.140067,0.250357,-143.44,140.07,250.36,7,Other,Other
118,-0.14344200000000001,0.13855499999999998,0.250342,-143.44,138.55,250.34,4,Felsic,Felsic
119,-0.14345,0.137043,0.250418,-143.45,137.04,250.42,4,Felsic,Felsic
120,-0.143451,0.135533,0.250459,-143.45,135.53,250.46,7,Other,Other
121,-0.143453,0.134017,0.250375,-143.45,134.02,250.38,4,Felsic,Felsic
122,-0.143457,0.13250599999999998,0.25046,-143.46,132.51,250.46,4,Felsic,Felsic
123,-0.14346,0.130992,0.2504,-143.46,130.99,250.4,4,Felsic,Felsic
124,-0.143455,0.12948199999999999,0.250272,-143.46,129.48,250.27,4,Felsic,Felsic
125,-0.143457,0.127972,0.250172,-143.46,127.97,250.17,4,Felsic,Felsic
126,-0.143453,0.12646500000000002,0.25006799999999996,-143.45,126.47,250.07,7,Other,Other
127,-0.14346099999999998,0.124952,0.250136,-143.46,124.95,250.14,4,Felsic,Felsic
128,-0.14347100000000002,0.12343699999999999,0.250224,-143.47,123.44,250.22,4,Felsic,Felsic
129,-0.143473,0.12192599999999999,0.250281,-143.47,121.93,250.28,4,Felsic,Felsic
130,-0.143481,0.12041099999999999,0.250322,-143.48,120.41,250.32,4,Felsic,Felsic
131,-0.141974,0.120395,0.25055700000000003,-141.97,120.4,250.56,4,Felsic,Felsic
132,-0.141982,0.12189900000000001,0.250659,-141.98,121.9,250.66,7,Other,Other
133,-0.141984,0.12340899999999999,0.250716,-141.98,123.41,250.72,3,Alt. Mafic,Mafic
134,-0.141996,0.124912,0.250959,-142.0,124.91,250.96,3,Alt. Mafic,Mafic
135,-0.141979,0.126441,0.25043499999999996,-141.98,126.44,250.43,4,Felsic,Felsic
136,-0.14198,0.127952,0.250306,-141.98,127.95,250.31,4,Felsic,Felsic
137,-0.14199,0.129459,0.25062199999999996,-141.99,129.46,250.62,7,Other,Other
138,-0.142003,0.130969,0.250936,-142.0,130.97,250.94,7,Other,Other
139,-0.141991,0.132482,0.250581,-141.99,132.48,250.58,4,Felsic,Felsic
140,-0.141989,0.133994,0.250517,-141.99,133.99,250.52,7,Other,Other
141,-0.141993,0.135509,0.250655,-141.99,135.51,250.66,4,Felsic,Felsic
142,-0.141992,0.137023,0.25064000000000003,-141.99,137.02,250.64,7,Other,Other
143,-0.141983,0.138526,0.250365,-141.98,138.53,250.36,7,Other,Other
144,-0.14198,0.140034,0.250282,-141.98,140.03,250.28,4,Felsic,Felsic
145,-0.141981,0.141545,0.2503,-141.98,141.55,250.3,4,Felsic,Felsic
146,-0.14046199999999998,0.141539,0.2502,-140.46,141.54,250.2,4,Felsic,Felsic
147,-0.14046199999999998,0.14002799999999999,0.250204,-140.46,140.03,250.2,3,Alt. Mafic,Mafic
148,-0.140464,0.138521,0.250298,-140.46,138.52,250.3,3,Alt. Mafic,Mafic
149,-0.14047300000000001,0.13702,0.25066900000000003,-140.47,137.02,250.67,4,Felsic,Felsic
150,-0.140474,0.135507,0.250708,-140.47,135.51,250.71,3,Alt. Mafic,Mafic
151,-0.140474,0.133993,0.250684,-140.47,133.99,250.68,7,Other,Other
152,-0.140475,0.13247899999999999,0.250733,-140.48,132.48,250.73,7,Other,Other
153,-0.14047300000000001,0.130965,0.250668,-140.47,130.96,250.67,4,Felsic,Felsic
154,-0.140471,0.12945299999999998,0.25054899999999997,-140.47,129.45,250.55,7,Other,Other
155,-0.140472,0.127939,0.250627,-140.47,127.94,250.63,3,Alt. Mafic,Mafic
156,-0.140475,0.126424,0.250711,-140.48,126.42,250.71,4,Felsic,Felsic
157,-0.140489,0.12489000000000001,0.251283,-140.49,124.89,251.28,7,Other,Other
158,-0.140487,0.123377,0.251185,-140.49,123.38,251.18,7,Other,Other
159,-0.140488,0.121859,0.251191,-140.49,121.86,251.19,7,Other,Other
160,-0.140479,0.12036500000000001,0.250809,-140.48,120.36,250.81,7,Other,Other
161,-0.138965,0.12034500000000001,0.251106,-138.96,120.35,251.11,7,Other,Other
162,-0.138965,0.121858,0.251162,-138.96,121.86,251.16,4,Felsic,Felsic
163,-0.138965,0.12337100000000001,0.251248,-138.96,123.37,251.25,7,Other,Other
164,-0.138965,0.12488800000000001,0.251256,-138.96,124.89,251.26,4,Felsic,Felsic
165,-0.13896,0.126411,0.25105500000000003,-138.96,126.41,251.06,7,Other,Other
167,-0.138938,0.127957,0.25092800000000004,-138.94,127.96,250.93,4,Felsic,Felsic
168,-0.13893599999999998,0.129465,0.250845,-138.94,129.46,250.84,3,Alt. Mafic,Mafic
