PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
6,-0.13903800000000002,0.13426400000000002,0.244827,-139.04,134.26,244.83,1,Pyroxene,Mafic
7,-0.13903900000000002,0.134134,0.244867,-139.04,134.13,244.87,1,Pyroxene,Mafic
8,-0.139043,0.134012,0.244869,-139.04,134.01,244.87,1,Pyroxene,Mafic
9,-0.139043,0.133881,0.24486999999999998,-139.04,133.88,244.87,4,Felsic,Felsic
10,-0.139043,0.133761,0.24487199999999998,-139.04,133.76,244.87,4,Felsic,Felsic
11,-0.139041,0.133639,0.244763,-139.04,133.64,244.76,2,Olivine,Mafic
12,-0.139042,0.13350599999999999,0.244626,-139.04,133.51,244.63,3,Alt. Mafic,Mafic
13,-0.13904,0.133384,0.24450100000000002,-139.04,133.38,244.5,4,Felsic,Felsic
14,-0.13903900000000002,0.133253,0.244441,-139.04,133.25,244.44,7,Other,Other
15,-0.13903900000000002,0.133123,0.24444000000000002,-139.04,133.12,244.44,4,Felsic,Felsic
16,-0.13903900000000002,0.133003,0.24444000000000002,-139.04,133.0,244.44,4,Felsic,Felsic
17,-0.139043,0.13287100000000002,0.24444200000000002,-139.04,132.87,244.44,1,Pyroxene,Mafic
18,-0.139043,0.132751,0.24444200000000002,-139.04,132.75,244.44,1,Pyroxene,Mafic
19,-0.139045,0.13262100000000002,0.24455,-139.05,132.62,244.55,3,Alt. Mafic,Mafic
20,-0.139048,0.132501,0.24469000000000002,-139.05,132.5,244.69,1,Pyroxene,Mafic
21,-0.13905399999999998,0.13238,0.24483200000000002,-139.05,132.38,244.83,1,Pyroxene,Mafic
22,-0.13905499999999998,0.13225,0.24488200000000002,-139.05,132.25,244.88,7,Other,Other
23,-0.13905499999999998,0.13211900000000001,0.24488800000000002,-139.05,132.12,244.89,3,Alt. Mafic,Mafic
24,-0.13905499999999998,0.131998,0.24489299999999997,-139.05,132.0,244.89,4,Felsic,Felsic
25,-0.13905499999999998,0.131868,0.24489899999999998,-139.05,131.87,244.9,4,Felsic,Felsic
26,-0.139059,0.131746,0.2449010000000001,-139.06,131.75,244.9,4,Felsic,Felsic
27,-0.139059,0.131615,0.244903,-139.06,131.62,244.9,4,Felsic,Felsic
28,-0.13906300000000002,0.131493,0.244905,-139.06,131.49,244.9,4,Felsic,Felsic
29,-0.13906300000000002,0.131363,0.244907,-139.06,131.36,244.91,1,Pyroxene,Mafic
30,-0.13906300000000002,0.131242,0.24490900000000002,-139.06,131.24,244.91,2,Olivine,Mafic
31,-0.13906300000000002,0.13112100000000002,0.24491100000000002,-139.06,131.12,244.91,4,Felsic,Felsic
32,-0.13906300000000002,0.130991,0.24491300000000002,-139.06,130.99,244.91,1,Pyroxene,Mafic
33,-0.139067,0.130858,0.24491500000000002,-139.07,130.86,244.92,4,Felsic,Felsic
34,-0.139067,0.13073800000000002,0.24491100000000002,-139.07,130.74,244.91,4,Felsic,Felsic
35,-0.139071,0.130606,0.244902,-139.07,130.61,244.9,4,Felsic,Felsic
36,-0.139071,0.130486,0.24489499999999997,-139.07,130.49,244.9,4,Felsic,Felsic
37,-0.139074,0.130353,0.24489299999999997,-139.07,130.35,244.89,4,Felsic,Felsic
38,-0.139075,0.130233,0.244896,-139.08,130.23,244.9,4,Felsic,Felsic
39,-0.139079,0.13011099999999998,0.2449,-139.08,130.11,244.9,4,Felsic,Felsic
40,-0.139078,0.12997999999999998,0.24490399999999998,-139.08,129.98,244.9,4,Felsic,Felsic
41,-0.139079,0.129859,0.244908,-139.08,129.86,244.91,7,Other,Other
42,-0.13908299999999998,0.129727,0.244912,-139.08,129.73,244.91,4,Felsic,Felsic
43,-0.13908299999999998,0.129597,0.244916,-139.08,129.6,244.92,3,Alt. Mafic,Mafic
44,-0.139087,0.129475,0.24491999999999997,-139.09,129.48,244.92,3,Alt. Mafic,Mafic
45,-0.139087,0.12934400000000001,0.24492399999999998,-139.09,129.34,244.92,4,Felsic,Felsic
46,-0.13909100000000002,0.129222,0.244928,-139.09,129.22,244.93,4,Felsic,Felsic
47,-0.13909100000000002,0.129091,0.244932,-139.09,129.09,244.93,4,Felsic,Felsic
48,-0.13909100000000002,0.128971,0.24493600000000001,-139.09,128.97,244.94,4,Felsic,Felsic
49,-0.139095,0.128848,0.24494000000000002,-139.1,128.85,244.94,3,Alt. Mafic,Mafic
50,-0.139095,0.128718,0.24494499999999997,-139.1,128.72,244.94,3,Alt. Mafic,Mafic
51,-0.139096,0.12858699999999998,0.2449510000000001,-139.1,128.59,244.95,4,Felsic,Felsic
52,-0.139099,0.128465,0.244956,-139.1,128.46,244.96,4,Felsic,Felsic
53,-0.139099,0.128334,0.24496199999999999,-139.1,128.33,244.96,4,Felsic,Felsic
54,-0.139099,0.12821400000000002,0.24495799999999998,-139.1,128.21,244.96,4,Felsic,Felsic
55,-0.139099,0.128083,0.2449510000000001,-139.1,128.08,244.95,4,Felsic,Felsic
56,-0.139103,0.127961,0.244944,-139.1,127.96,244.94,4,Felsic,Felsic
57,-0.139103,0.127841,0.24493800000000002,-139.1,127.84,244.94,4,Felsic,Felsic
58,-0.139103,0.12771,0.24493099999999998,-139.1,127.71,244.93,4,Felsic,Felsic
59,-0.138982,0.12771,0.244928,-138.98,127.71,244.93,4,Felsic,Felsic
60,-0.138986,0.127839,0.24493499999999999,-138.99,127.84,244.93,1,Pyroxene,Mafic
61,-0.138986,0.12796,0.24494200000000002,-138.99,127.96,244.94,7,Other,Other
62,-0.13899,0.128078,0.244948,-138.99,128.08,244.95,1,Pyroxene,Mafic
63,-0.13899,0.128209,0.244956,-138.99,128.21,244.96,4,Felsic,Felsic
64,-0.13899,0.128329,0.244961,-138.99,128.33,244.96,4,Felsic,Felsic
65,-0.138989,0.12846,0.244956,-138.99,128.46,244.96,4,Felsic,Felsic
66,-0.13899,0.12858,0.24495,-138.99,128.58,244.95,4,Felsic,Felsic
67,-0.138993,0.12871,0.24494499999999997,-138.99,128.71,244.94,1,Pyroxene,Mafic
68,-0.138993,0.12884,0.244939,-138.99,128.84,244.94,4,Felsic,Felsic
69,-0.138993,0.128961,0.244934,-138.99,128.96,244.93,4,Felsic,Felsic
70,-0.138997,0.12908,0.24493,-139.0,129.08,244.93,4,Felsic,Felsic
71,-0.138997,0.129211,0.2449260000000001,-139.0,129.21,244.93,7,Other,Other
72,-0.138997,0.129331,0.24492199999999997,-139.0,129.33,244.92,7,Other,Other
73,-0.138996,0.129462,0.244918,-139.0,129.46,244.92,7,Other,Other
74,-0.139,0.129581,0.24491500000000002,-139.0,129.58,244.92,7,Other,Other
75,-0.139,0.129711,0.24491100000000002,-139.0,129.71,244.91,4,Felsic,Felsic
76,-0.139,0.129842,0.244907,-139.0,129.84,244.91,7,Other,Other
77,-0.139,0.12996300000000002,0.244903,-139.0,129.96,244.9,7,Other,Other
78,-0.139003,0.130092,0.24489899999999998,-139.0,130.09,244.9,4,Felsic,Felsic
79,-0.139003,0.130212,0.24489499999999997,-139.0,130.21,244.9,4,Felsic,Felsic
80,-0.139003,0.130333,0.244892,-139.0,130.33,244.89,4,Felsic,Felsic
81,-0.139003,0.13046300000000002,0.244896,-139.0,130.46,244.9,4,Felsic,Felsic
82,-0.139003,0.130584,0.24490399999999998,-139.0,130.58,244.9,4,Felsic,Felsic
83,-0.139007,0.13071300000000002,0.244912,-139.01,130.71,244.91,4,Felsic,Felsic
84,-0.139007,0.130833,0.244919,-139.01,130.83,244.92,4,Felsic,Felsic
85,-0.139007,0.130964,0.244917,-139.01,130.96,244.92,4,Felsic,Felsic
86,-0.139009,0.13109200000000001,0.24491500000000002,-139.01,131.09,244.92,4,Felsic,Felsic
87,-0.139009,0.131212,0.24491300000000002,-139.01,131.21,244.91,1,Pyroxene,Mafic
88,-0.139009,0.13133,0.24491100000000002,-139.01,131.33,244.91,1,Pyroxene,Mafic
89,-0.139009,0.13146,0.24490900000000002,-139.01,131.46,244.91,4,Felsic,Felsic
90,-0.139009,0.131581,0.244907,-139.01,131.58,244.91,4,Felsic,Felsic
91,-0.139009,0.131711,0.244905,-139.01,131.71,244.9,4,Felsic,Felsic
92,-0.139009,0.131832,0.244902,-139.01,131.83,244.9,7,Other,Other
93,-0.139009,0.131959,0.24489699999999998,-139.01,131.96,244.9,4,Felsic,Felsic
