PMC,x,y,z,x_mm,y_mm,z_mm,mineral_id,classification,parent_category
4,-0.138702,0.127788,0.242907,-138.7,127.79,242.91,2,Olivine,Mafic
5,-0.138685,0.127908,0.24289699999999997,-138.68,127.91,242.9,2,Olivine,Mafic
6,-0.138675,0.12803900000000001,0.24289000000000002,-138.67,128.04,242.89,2,Olivine,Mafic
7,-0.138655,0.12816,0.2429,-138.66,128.16,242.9,2,Olivine,Mafic
8,-0.138649,0.12829000000000002,0.24291300000000002,-138.65,128.29,242.91,2,Olivine,Mafic
9,-0.138629,0.128411,0.2429260000000001,-138.63,128.41,242.93,7,Other,Other
10,-0.138619,0.12854100000000002,0.242939,-138.62,128.54,242.94,4,Felsic,Felsic
11,-0.138599,0.128662,0.2429510000000001,-138.6,128.66,242.95,4,Felsic,Felsic
12,-0.13858900000000002,0.12878199999999998,0.242963,-138.59,128.78,242.96,4,Felsic,Felsic
13,-0.138573,0.128913,0.24296700000000002,-138.57,128.91,242.97,4,Felsic,Felsic
14,-0.138562,0.12903399999999998,0.24296700000000002,-138.56,129.03,242.97,4,Felsic,Felsic
15,-0.138541,0.129165,0.242966,-138.54,129.16,242.97,1,Pyroxene,Mafic
16,-0.138531,0.12928499999999998,0.242966,-138.53,129.28,242.97,1,Pyroxene,Mafic
17,-0.138515,0.129406,0.242968,-138.51,129.41,242.97,1,Pyroxene,Mafic
18,-0.138495,0.12953699999999999,0.242973,-138.5,129.54,242.97,1,Pyroxene,Mafic
19,-0.138485,0.129658,0.242977,-138.48,129.66,242.98,1,Pyroxene,Mafic
20,-0.138464,0.12978800000000001,0.242982,-138.46,129.79,242.98,1,Pyroxene,Mafic
21,-0.138454,0.129909,0.242986,-138.45,129.91,242.99,1,Pyroxene,Mafic
22,-0.138438,0.13003,0.24299099999999998,-138.44,130.03,242.99,1,Pyroxene,Mafic
23,-0.138428,0.130161,0.242995,-138.43,130.16,242.99,1,Pyroxene,Mafic
24,-0.138408,0.130281,0.242997,-138.41,130.28,243.0,1,Pyroxene,Mafic
25,-0.138397,0.130412,0.24299899999999997,-138.4,130.41,243.0,1,Pyroxene,Mafic
26,-0.138377,0.13053299999999998,0.24300100000000002,-138.38,130.53,243.0,1,Pyroxene,Mafic
27,-0.13837,0.130654,0.242921,-138.37,130.65,242.92,4,Felsic,Felsic
